SCHNO,FULLNAME,ADDRESS,ZIPCODE,City,State,SCHLEVEL,BEGGRADE,ENDGRADE,E,M,H,K8,CDS_COUNTY,CDS_DISTRICT,CDS_SCHOOL,SchoolOpenClose,Zone,Charter
413,Alamo ES,250 23rd Ave,94121,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6040695,Y,C1,N
420,Alvarado ES,625 Douglass St,94114,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6040703,Y,C1,N
435,Argonne ES,680 18th Ave,94121,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6040737,Y,C2,N
456,Bryant ES,2641 25th St,94110,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6040778,Y,C1,N
625,Carver (Dr George W) ES,1360 Oakdale Ave,94124,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6093496,Y,C3,N
603,Chavez (Cesar) ES,825 Shotwell St,94110,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041149,Y,C1,N
872,Chin (John Yehall) ES,350 Broadway St,94133,San Francisco,CA,2,K,5,Y,N,N,N,38,68478,6113252,Y,C2,N
509,Chinese Immersion School at DeAvila ES,1250 Waller St,94117,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,120386,Y,C2,N
478,Clarendon ES,500 Clarendon Ave,94131,San Francisco,CA,2,K,5,Y,N,N,N,38,68478,6040828,Y,C5,N
481,Cleveland ES,455 Athens St,94112,San Francisco,CA,2,K,5,Y,N,N,N,38,68478,6040836,Y,C4,N
525,Cobb (Dr William L) ES,2725 California St,94115,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6040968,Y,C3,N
507,Drew (Dr Charles) College Preparatory Academy ES,50 Pomona Ave,94124,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6104673,Y,C3,N
521,El Dorado ES,70 Delta St,94134,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6040950,Y,C5,N
539,Feinstein (Dianne) ES,2550 25th Ave,94116,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,111427,Y,C5,N
680,Flynn (Leonard R) ES,3125 Cesar Chavez St,94110,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041347,Y,C1,N
562,Garfield ES,420 Filbert St,94133,San Francisco,CA,2,K,5,Y,N,N,N,38,68478,6041040,Y,C2,N
575,Glen Park ES,151 Lippard Ave,94131,San Francisco,CA,2,K,5,Y,N,N,N,38,68478,6041073,Y,C1,N
589,Grattan ES,165 Grattan St,94117,San Francisco,CA,2,K,5,Y,N,N,N,38,68478,6041115,Y,C1,N
593,Guadalupe ES,859 Prague St,94112,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041123,Y,C5,N
453,Harte (Bret) ES,1035 Gilman Ave,94124,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6040760,Y,C3,N
614,Hillcrest ES,810 Silver Ave,94134,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041156,Y,C4,N
537,Huerta (Dolores) ES,65 Chenery St,94131,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6040984,Y,C1,N
644,Jefferson ES,1725 Irving St,94122,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041230,Y,C5,N
544,Key (Francis Scott) ES,1530 43rd Ave,94122,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041008,Y,C5,N
838,King (Thomas Starr) ES,1215 Carolina St,94107,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041602,Y,C3,N
664,Lafayette ES,4545 Anza St,94121,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041305,Y,C1,N
670,Lakeshore ES,220 Middlefield Dr,94132,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041321,Y,C5,N
490,Lau (Gordon J) ES,950 Clay St,94108,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6040877,Y,C2,N
476,Lee (Edwin and Anita) Newcomer ES,950 Clay St,94108,San Francisco,CA,2,K,5,Y,N,N,N,38,68478,6089569,Y,C2,N
691,Longfellow ES,755 Morse St,94112,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041362,Y,C5,N
830,Malcolm X Academy ES,350 Harbor Rd,94124,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041586,Y,C3,N
714,Marshall ES,1575 15th St,94103,san francisco,CA,2,K,5,Y,N,N,N,38,68478,6041412,Y,C1,N
549,McCoppin (Frank) ES,651 6th Ave,94118,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041016,Y,C1,N
718,McKinley ES,1025 14th St,94114,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041420,Y,C3,N
505,Milk (Harvey) Civil Right ES,4235 19th St,94114,San Francisco,CA,2,K,5,Y,N,N,N,38,68478,6040919,Y,C1,N
722,Miraloma ES,175 Omar Way,94127,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041438,Y,C5,N
724,Mission Education Center ES,1670 Noe St,94131,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6089585,Y,C2,N
729,Monroe ES,260 Madrid St,94112,San Francisco,CA,2,K,5,Y,N,N,N,38,68478,6041446,Y,C4,N
723,Moscone (George R) ES,2576 Harrison St,94110,San Francisco,CA,2,K,5,Y,N,N,N,38,68478,6099154,Y,C1,N
650,Muir (John) ES,380 Webster St,94117,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041255,Y,C2,N
735,New Traditions ES,2049 Grove St,94117,San Francisco,CA,2,K,5,Y,N,N,N,38,68478,6097919,Y,C3,N
746,Ortega (Jose) ES,400 Sargent St,94132,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041271,Y,C5,N
638,Parker (Jean) ES,840 Broadway St,94133,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041206,Y,C2,N
786,Parks (Rosa) ES,1501 O Farrell St,94115,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041503,Y,C2,N
569,Peabody (George) ES,251 6th Ave,94118,San Francisco,CA,2,K,5,Y,N,N,N,38,68478,6041065,Y,C3,N
790,Redding ES,1421 Pine St,94109,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041511,Y,C2,N
816,Sanchez ES,325 Sanchez St,94114,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041545,Y,C1,N
656,Serra (Junipero) ES,625 Holly Park Cir,94110,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041289,Y,C1,N
814,SF Public Montessori ES,2340 Jackson St,94115,San Francisco,CA,2,K,5,Y,N,N,N,38,68478,123117,Y,C2,N
820,Sheridan ES,431 Capitol Ave,94112,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041560,Y,C5,N
823,Sherman ES,1651 Union St,94123,San Francisco,CA,2,K,5,Y,N,N,N,38,68478,6041578,Y,C2,N
488,Sloat (Commodore) ES,50 Darien Way,94127,San Francisco,CA,2,K,5,Y,N,N,N,38,68478,6040851,Y,C5,N
834,Spring Valley Science ES,1451 Jackson St,94109,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041594,Y,C2,N
782,Stevenson (Robert Louis) ES,2051 34th Ave,94116,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041529,Y,C5,N
842,Sunnyside ES,250 Foerster St,94112,San Francisco,CA,2,K,5,Y,N,N,N,38,68478,6041610,Y,C5,N
750,Sunset ES,1920 41st Ave,94116,San Francisco,CA,2,K,5,Y,N,N,N,38,68478,6113997,Y,C5,N
848,Sutro ES,235 12th Ave,94118,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041644,Y,C1,N
513,Taylor (Edward R) ES,423 Burrows St,94134,San Francisco,CA,2,K,5,Y,N,N,N,38,68478,6040943,Y,C4,N
859,Tenderloin Community ES,627 Turk St,94102,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6115901,Y,C2,N
862,Ulloa ES,2650 42nd Ave,94116,San Francisco,CA,2,K,5,Y,N,N,N,38,68478,6041685,Y,C5,N
867,Visitacion Valley ES,55 Schwerin St,94134,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041701,Y,C4,N
497,Webster (Daniel) ES,465 Missouri St,94107,San Francisco,CA,2,K,5,Y,N,N,N,38,68478,6040893,Y,C3,N
876,West Portal ES,5 Lenox Way,94127,San Francisco,CA,2,TK,5,Y,N,N,N,38,68478,6041727,Y,C5,N
801,Wo (Yick) ES,2245 Jones St,94133,San Francisco,CA,2,K,5,Y,N,N,N,38,68478,6041131,Y,C2,N
431,Aptos MS,105 Aptos Ave,94127,San Francisco,CA,3,6,8,N,Y,N,N,38,68478,6062020,Y,MS,N
858,Brown Jr. (Willie) MS,2055 Silver Ave,94124,San Francisco,CA,3,6,8,N,Y,N,N,38,68478,132241,Y,MS,N
632,Denman (James) MS,241 Oneida Ave,94112,San Francisco,CA,3,6,8,N,Y,N,N,38,68478,6059869,Y,MS,N
529,Everett MS,450 Church St,94114,San Francisco,CA,3,6,8,N,Y,N,N,38,68478,6062038,Y,MS,N
546,Francisco MS,2190 Powell St,94133,San Francisco,CA,3,6,8,N,Y,N,N,38,68478,6059844,Y,MS,N
404,Giannini (A.P.) MS,3151 Ortega St,94122,San Francisco,CA,3,6,8,N,Y,N,N,38,68478,6059828,Y,MS,N
607,Hoover (Herbert) MS,2290 14th Ave,94116,San Francisco,CA,3,6,8,N,Y,N,N,38,68478,6059851,Y,MS,N
710,King Jr (Dr Martin L) MS,350 Girard St,94134,San Francisco,CA,3,6,8,N,Y,N,N,38,68478,6059885,Y,MS,N
634,Lick (James) MS,1220 Noe St,94114,San Francisco,CA,3,6,8,N,Y,N,N,38,68478,6062053,Y,MS,N
708,Marina MS,3500 Fillmore St,94123,San Francisco,CA,3,6,8,N,Y,N,N,38,68478,6062061,Y,MS,N
778,Presidio MS,450 30th Ave,94121,San Francisco,CA,3,6,8,N,Y,N,N,38,68478,6062079,Y,MS,N
797,Roosevelt MS,460 Arguello Blvd,94118,San Francisco,CA,3,6,8,N,Y,N,N,38,68478,6059901,Y,MS,N
868,Visitacion Valley MS,1971 Visitacion Ave,94134,San Francisco,CA,3,6,8,N,Y,N,N,38,68478,6059919,Y,MS,N
815,Asawa (Ruth) SOTA HS,555 Portola Dr,94131,San Francisco,CA,4,9,5th YR Senior,N,N,Y,N,38,68478,3830387,Y,HS1,N
439,Balboa HS,1000 Cayuga Ave,94112,San Francisco,CA,4,9,5th YR Senior,N,N,Y,N,38,68478,3830288,Y,HS1,N
764,Burton (Phillip and Sala) HS,400 Mansell St,94134,San Francisco,CA,4,9,5th YR Senior,N,N,Y,N,38,68478,3830254,Y,HS1,N
742,Downtown HS,693 Vermont St,94107,San Francisco,CA,4,9,12,N,N,Y,N,38,68478,3830064,Y,HS2,N
559,Galileo HS,1150 Francisco St,94109,San Francisco,CA,4,8,5th YR Senior,N,N,Y,N,38,68478,3831765,Y,HS1,N
466,Independence HS,1350 7th Ave,94122,San Francisco,CA,4,9,12,N,N,Y,N,38,68478,3830197,Y,HS2,N
757,Jordan (June) HS,325 La Grande Ave,94112,San Francisco,CA,4,9,5th YR Senior,N,N,Y,N,38,68478,102103,Y,HS1,N
405,Lincoln (Abraham) HS,2162 24th Ave,94116,San Francisco,CA,4,9,5th YR Senior,N,N,Y,N,38,68478,3833241,Y,HS1,N
697,Lowell HS,1101 Eucalyptus Dr,94132,San Francisco,CA,4,9,5th YR Senior,N,N,Y,N,38,68478,3833407,Y,HS1,N
853,Marshall (Thurgood) HS,45 Conkling St,94124,San Francisco,CA,4,8,5th YR Senior,N,N,Y,N,38,68478,3830403,Y,HS1,N
725,Mission HS,3750 18th St,94114,San Francisco,CA,4,9,5th YR Senior,N,N,Y,N,38,68478,3834082,Y,HS1,N
651,O'Connell (John) HS,2355 Folsom St,94110,San Francisco,CA,4,9,5th YR Senior,N,N,Y,N,38,68478,3834769,Y,HS1,N
621,SF International HS,655 De Haro St,94107,San Francisco,CA,4,8,5th YR Senior,N,N,Y,N,38,68478,119875,Y,HS1,N
832,The Academy - SF @ McAteer HS,555 Portola Dr,94131,San Francisco,CA,4,9,5th YR Senior,N,N,Y,N,38,68478,119958,Y,HS1,N
785,Wallenberg (Raoul) HS,40 Vega St,94115,San Francisco,CA,4,9,5th YR Senior,N,N,Y,N,38,68478,3830205,Y,HS1,N
571,Washington (George) HS,600 32nd Ave,94121,San Francisco,CA,4,9,12,N,N,Y,N,38,68478,3839081,Y,HS1,N
743,Wells (Ida B) HS,1099 Hayes St,94117,San Francisco,CA,4,9,12,N,N,Y,N,38,68478,3830031,Y,HS2,N
618,Buena Vista Horace Mann K-8,3351 23rd St,94110,San Francisco,CA,6,K,8,N,N,N,Y,38,68478,6062046,Y,C4,N
449,Carmichael (Bessie) K-8,375 7th St,94103,San Francisco,CA,6,TK,8,N,N,N,Y,38,68478,6040752,Y,C4,N
676,Lawton K-8,1570 31st Ave,94122,San Francisco,CA,6,TK,8,N,N,N,Y,38,68478,6041339,Y,C4,N
479,Lilienthal (Claire) K-8,3630 Divisadero St,94123,San Francisco,CA,6,K,8,N,N,N,Y,38,68478,6102479,Y,C4,N
760,Revere (Paul) K-8,555 Tompkins Ave,94110,San Francisco,CA,6,K,8,N,N,N,Y,38,68478,6041487,Y,C4,N
796,Rooftop K-8,500 Corbett Ave,94114,San Francisco,CA,6,TK,8,N,N,N,Y,38,68478,6089775,Y,C4,N
493,SF Community K-8,125 Excelsior Ave,94112,San Francisco,CA,6,K,8,N,N,N,Y,38,68478,6093488,Y,C4,N
485,Yu (Alice Fong) K-8,1541 12th Ave,94122,San Francisco,CA,6,K,8,N,N,N,Y,38,68478,6113245,Y,C4,N